team,mid_range_makes,mid_range_attempts,mid_range_%
San Antonio Spurs,9.7,21.9,44.2
Indiana Pacers,7.3,17.3,42.1
Washington Wizards,6.7,16.9,39.8
Portland Trail Blazers,7,16.1,43.4
New York Knicks,6.2,16,38.4
Golden State Warriors,6.3,15.8,39.8
Orlando Magic,5.6,14.9,37.4
Philadelphia 76ers,5.7,14.3,39.9
Phoenix Suns,5.9,14.2,41.7
Denver Nuggets,6.2,14.1,44.2
Oklahoma City Thunder,6.4,13.8,46.9
LA Clippers,5.3,13.5,39.5
Los Angeles Lakers,4.9,13.4,36.8
Boston Celtics,4.8,11.3,42.6
Sacramento Kings,4.7,11.3,41.3
Miami Heat,4.1,11.2,36.7
Cleveland Cavaliers,4.5,10.9,41.2
New Orleans Pelicans,4,10.5,38.4
Milwaukee Bucks,4.9,10.5,46.4
Dallas Mavericks,4.1,9.9,41.4
Memphis Grizzlies,3.7,9.5,38.8
Atlanta Hawks,3.4,8.9,38.4
Toronto Raptors,3.1,8.5,35.8
Detroit Pistons,3.2,8.2,39.5
Chicago Bulls,2.7,7.6,35.1
Utah Jazz,3.2,7.6,41.9
Brooklyn Nets,2.6,7,36.7
Minnesota Timberwolves,2.5,6.5,38.2
Charlotte Hornets,2,6.3,32
Houston Rockets,2.2,5.5,40.5
